년/월/일,종가,대비,등락률(%),시가,고가,저가,거래량(천주),거래대금(원),상장시가총액(원)
"2020/07/22","2,228.66","-0.17","-0.01","2,228.20","2,238.86","2,221.62","856,218","15,651,892,519,811","1,509,717,832,642,203"
"2020/07/21","2,228.83","30.63","1.39","2,219.19","2,234.86","2,214.28","918,483","15,759,332,636,629","1,509,515,194,204,624"
"2020/07/20","2,198.20","-2.99","-0.14","2,209.59","2,209.59","2,183.83","686,819","12,025,004,388,559","1,488,358,383,872,006"
"2020/07/17","2,201.19","17.43","0.80","2,187.85","2,204.20","2,187.85","569,297","10,191,102,923,037","1,490,180,654,286,876"
"2020/07/16","2,183.76","-18.12","-0.82","2,203.30","2,207.34","2,177.82","784,637","11,304,254,033,107","1,478,307,592,869,367"
"2020/07/15","2,201.88","18.27","0.84","2,208.73","2,216.97","2,190.66","830,266","13,641,396,398,926","1,490,240,355,001,560"
"2020/07/14","2,183.61","-2.45","-0.11","2,176.43","2,183.61","2,165.60","810,952","11,633,360,175,479","1,477,856,002,350,806"
"2020/07/13","2,186.06","35.81","1.67","2,170.51","2,188.80","2,163.07","650,231","10,462,265,621,930","1,479,593,285,922,319"
"2020/07/10","2,150.25","-17.65","-0.81","2,171.44","2,171.52","2,140.29","886,987","12,048,058,313,719","1,455,781,560,911,370"
"2020/07/09","2,167.90","9.02","0.42","2,171.15","2,181.48","2,166.74","619,368","12,029,949,538,080","1,467,208,749,209,185"
"2020/07/08","2,158.88","-5.29","-0.24","2,166.76","2,173.83","2,150.89","677,810","11,567,569,371,753","1,460,994,855,195,639"
"2020/07/07","2,164.17","-23.76","-1.09","2,202.04","2,206.79","2,164.03","847,434","14,858,393,386,688","1,465,179,698,333,403"
"2020/07/06","2,187.93","35.52","1.65","2,158.95","2,191.28","2,157.71","666,902","11,656,294,735,939","1,480,948,171,498,278"
"2020/07/03","2,152.41","17.04","0.80","2,147.89","2,153.54","2,135.30","770,055","8,649,543,800,140","1,456,812,255,014,887"
"2020/07/02","2,135.37","28.67","1.36","2,116.72","2,135.37","2,113.98","1,091,965","10,745,168,204,526","1,445,664,482,444,930"
"2020/07/01","2,106.70","-1.63","-0.08","2,128.81","2,133.55","2,101.33","1,116,221","10,232,631,942,700","1,417,280,238,019,280"
"2020/06/30","2,108.33","14.85","0.71","2,124.38","2,134.38","2,108.26","708,605","11,699,082,707,241","1,418,860,741,475,329"
"2020/06/29","2,093.48","-41.17","-1.93","2,105.54","2,120.50","2,087.84","643,156","9,025,867,722,947","1,408,463,551,776,580"
"2020/06/26","2,134.65","22.28","1.05","2,137.47","2,142.04","2,115.25","761,044","9,821,159,648,182","1,436,168,481,341,002"
"2020/06/25","2,112.37","-49.14","-2.27","2,130.45","2,143.33","2,112.37","1,017,721","10,692,627,098,579","1,420,866,478,316,469"
"2020/06/24","2,161.51","30.27","1.42","2,145.93","2,171.86","2,143.91","913,896","13,324,797,690,536","1,453,951,200,553,877"
"2020/06/23","2,131.24","4.51","0.21","2,149.13","2,158.15","2,110.51","917,567","13,496,081,372,787","1,433,435,233,461,333"
"2020/06/22","2,126.73","-14.59","-0.68","2,126.38","2,142.88","2,122.10","789,372","10,098,315,248,975","1,430,718,937,268,391"
"2020/06/19","2,141.32","7.84","0.37","2,153.09","2,153.57","2,108.91","1,079,453","12,300,498,419,524","1,441,080,602,939,928"
"2020/06/18","2,133.48","-7.57","-0.35","2,134.35","2,145.13","2,120.29","767,184","11,089,871,020,141","1,435,518,023,343,328"
"2020/06/17","2,141.05","3.00","0.14","2,133.18","2,154.37","2,105.26","927,516","15,458,440,200,634","1,440,025,501,583,959"
"2020/06/16","2,138.05","107.23","5.28","2,091.09","2,138.08","2,079.02","973,639","13,837,056,898,298","1,437,701,364,296,343"
"2020/06/15","2,030.82","-101.48","-4.76","2,114.41","2,129.67","2,030.82","1,072,278","18,242,464,517,682","1,366,175,254,025,951"
"2020/06/12","2,132.30","-44.48","-2.04","2,088.24","2,137.12","2,084.63","689,897","14,960,780,838,903","1,434,087,757,539,005"
"2020/06/11","2,176.78","-18.91","-0.86","2,184.36","2,200.72","2,148.51","827,381","16,987,057,620,203","1,464,392,589,642,064"
"2020/06/10","2,195.69","6.77","0.31","2,187.91","2,200.68","2,178.12","706,294","12,888,183,095,069","1,476,712,867,540,628"
"2020/06/09","2,188.92","4.63","0.21","2,206.23","2,212.17","2,166.01","817,085","14,689,860,828,352","1,472,051,666,137,017"
"2020/06/08","2,184.29","2.42","0.11","2,215.60","2,217.21","2,174.96","854,035","13,145,519,107,463","1,468,714,983,884,430"
"2020/06/05","2,181.87","30.69","1.43","2,151.17","2,187.25","2,138.18","854,591","12,778,905,806,695","1,466,769,477,352,700"
"2020/06/04","2,151.18","4.18","0.19","2,181.64","2,191.00","2,139.68","1,393,308","16,034,002,142,290","1,446,260,119,584,246"
"2020/06/03","2,147.00","59.81","2.87","2,108.55","2,156.55","2,107.69","1,152,001","16,998,832,251,499","1,442,871,666,450,862"
"2020/06/02","2,087.19","22.11","1.07","2,061.45","2,089.43","2,059.14","1,000,332","10,232,916,613,603","1,402,057,228,354,535"
"2020/06/01","2,065.08","35.48","1.75","2,037.04","2,065.38","2,035.63","997,348","9,839,657,383,038","1,387,477,878,880,702"
"2020/05/29","2,029.60","1.06","0.05","2,018.37","2,038.89","2,006.62","1,086,215","14,084,590,166,800","1,363,450,451,367,235"
"2020/05/28","2,028.54","-2.66","-0.13","2,047.08","2,054.52","2,003.75","1,172,134","14,479,213,391,390","1,363,293,486,469,432"
"2020/05/27","2,031.20","1.42","0.07","2,027.90","2,043.44","2,019.82","1,178,848","12,635,098,387,337","1,364,678,862,910,216"
"2020/05/26","2,029.78","35.18","1.76","2,001.00","2,029.89","1,997.94","1,017,804","12,545,313,579,781","1,363,735,033,916,035"
"2020/05/25","1,994.60","24.47","1.24","1,980.51","1,994.90","1,967.84","641,459","7,960,324,756,104","1,340,826,177,203,951"
"2020/05/22","1,970.13","-28.18","-1.41","2,001.60","2,002.65","1,961.40","847,467","9,509,771,760,326","1,324,302,793,166,826"
"2020/05/21","1,998.31","8.67","0.44","2,003.20","2,004.95","1,993.00","601,199","8,636,997,699,884","1,343,561,077,622,969"
"2020/05/20","1,989.64","9.03","0.46","1,972.12","1,992.20","1,972.12","699,447","8,248,632,036,086","1,337,699,454,438,994"
"2020/05/19","1,980.61","43.50","2.25","1,977.47","1,983.77","1,968.59","773,415","11,918,300,290,192","1,331,835,811,527,638"
"2020/05/18","1,937.11","9.83","0.51","1,934.51","1,943.07","1,921.14","761,696","9,394,306,873,102","1,301,926,005,473,237"
"2020/05/15","1,927.28","2.32","0.12","1,937.63","1,938.59","1,913.21","866,357","9,723,312,708,078","1,294,619,578,424,819"
"2020/05/14","1,924.96","-15.46","-0.80","1,922.44","1,931.43","1,913.49","760,646","9,469,021,404,658","1,292,884,145,462,489"
"2020/05/13","1,940.42","18.25","0.95","1,897.50","1,940.42","1,897.24","618,784","9,012,307,818,081","1,303,464,008,136,505"
"2020/05/12","1,922.17","-13.23","-0.68","1,938.62","1,938.62","1,905.17","799,930","9,681,896,635,050","1,291,568,129,833,589"
"2020/05/11","1,935.40","-10.42","-0.54","1,953.51","1,960.46","1,932.87","591,283","7,752,760,806,973","1,300,769,233,598,186"
"2020/05/08","1,945.82","17.21","0.89","1,944.94","1,956.89","1,942.54","784,773","7,941,567,564,414","1,307,404,235,915,187"
"2020/05/07","1,928.61","-0.15","-0.01","1,922.00","1,938.50","1,918.57","775,658","7,383,335,083,519","1,296,095,632,739,743"
"2020/05/06","1,928.76","33.39","1.76","1,919.45","1,928.76","1,902.55","1,082,527","8,550,700,968,723","1,296,556,106,111,278"
"2020/05/04","1,895.37","-52.19","-2.68","1,906.42","1,918.66","1,894.29","1,146,855","10,261,902,202,857","1,274,213,042,153,076"
"2020/04/29","1,947.56","13.47","0.70","1,936.89","1,957.51","1,934.31","1,984,182","10,525,128,532,479","1,309,179,248,330,950"
"2020/04/28","1,934.09","11.32","0.59","1,931.25","1,941.79","1,911.63","1,173,476","10,375,078,302,989","1,300,504,429,056,374"
"2020/04/27","1,922.77","33.76","1.79","1,897.06","1,929.82","1,894.62","735,663","8,171,668,846,877","1,293,318,256,998,546"
"2020/04/24","1,889.01","-25.72","-1.34","1,906.07","1,908.29","1,880.71","933,917","9,647,344,478,840","1,271,159,366,876,740"
"2020/04/23","1,914.73","18.58","0.98","1,907.45","1,923.53","1,895.98","683,720","9,124,271,815,911","1,287,024,851,033,628"
"2020/04/22","1,896.15","16.77","0.89","1,855.51","1,897.90","1,844.85","820,360","9,428,672,633,853","1,274,786,181,055,578"
"2020/04/21","1,879.38","-18.98","-1.00","1,886.78","1,898.32","1,841.66","1,174,294","13,863,164,450,974","1,263,694,525,894,965"
"2020/04/20","1,898.36","-16.17","-0.84","1,908.34","1,925.25","1,893.17","1,087,463","11,915,932,209,602","1,276,932,686,171,999"
"2020/04/17","1,914.53","57.46","3.09","1,893.31","1,926.02","1,893.19","1,667,460","14,127,722,405,516","1,287,911,930,998,779"
"2020/04/16","1,857.07","-0.01","-0.00","1,839.51","1,862.23","1,828.13","878,338","10,710,793,199,999","1,248,881,506,244,681"
"2020/04/14","1,857.08","31.32","1.72","1,846.41","1,864.46","1,837.17","886,766","9,995,854,086,344","1,248,940,314,010,211"
"2020/04/13","1,825.76","-34.94","-1.88","1,853.30","1,853.30","1,825.76","1,017,752","9,516,704,096,110","1,228,226,157,795,454"
"2020/04/10","1,860.70","24.49","1.33","1,835.76","1,861.10","1,824.43","992,548","12,009,988,837,226","1,251,445,975,432,980"
"2020/04/09","1,836.21","29.07","1.61","1,838.09","1,839.33","1,818.30","920,571","10,517,358,549,787","1,235,327,684,208,445"
"2020/04/08","1,807.14","-16.46","-0.90","1,815.75","1,842.16","1,801.80","907,494","11,126,542,159,615","1,215,858,624,385,370"
"2020/04/07","1,823.60","31.72","1.77","1,826.72","1,838.97","1,791.92","951,739","11,628,935,543,509","1,226,518,732,401,875"
"2020/04/06","1,791.88","66.44","3.85","1,745.25","1,794.19","1,742.67","1,219,389","10,957,483,192,535","1,205,000,551,883,535"
"2020/04/03","1,725.44","0.58","0.03","1,731.17","1,743.91","1,706.68","1,000,087","10,153,714,406,089","1,160,743,273,084,198"
"2020/04/02","1,724.86","39.40","2.34","1,693.53","1,726.76","1,664.13","766,313","10,152,244,718,742","1,159,987,256,045,893"
"2020/04/01","1,685.46","-69.18","-3.94","1,737.28","1,762.44","1,685.37","1,243,591","12,110,507,381,678","1,133,944,054,487,121"
"2020/03/31","1,754.64","37.52","2.19","1,739.29","1,757.81","1,722.62","1,037,488","13,905,369,066,747","1,179,728,722,560,726"
"2020/03/30","1,717.12","-0.61","-0.04","1,670.34","1,729.63","1,659.95","767,777","9,081,049,803,032","1,155,630,476,602,887"
"2020/03/27","1,717.73","31.49","1.87","1,756.07","1,759.05","1,668.21","1,077,527","12,851,932,962,119","1,156,581,472,275,771"
"2020/03/26","1,686.24","-18.52","-1.09","1,699.11","1,735.75","1,679.23","992,474","12,374,197,616,604","1,135,741,554,179,897"
"2020/03/25","1,704.76","94.79","5.89","1,668.19","1,707.64","1,645.28","872,809","12,612,287,867,284","1,147,712,134,896,263"
"2020/03/24","1,609.97","127.51","8.60","1,523.69","1,609.97","1,508.68","679,288","10,481,447,737,237","1,083,695,461,251,076"
"2020/03/23","1,482.46","-83.69","-5.34","1,474.45","1,516.75","1,458.41","647,528","9,645,271,634,190","998,450,497,948,322"
"2020/03/20","1,566.15","108.51","7.44","1,498.49","1,566.82","1,466.48","817,021","10,632,970,114,698","1,054,892,888,467,243"
"2020/03/19","1,457.64","-133.56","-8.39","1,626.09","1,626.09","1,439.43","977,675","11,932,492,035,885","982,169,749,104,868"
"2020/03/18","1,591.20","-81.24","-4.86","1,686.12","1,693.95","1,591.12","728,008","9,576,387,436,387","1,071,788,837,300,586"
"2020/03/17","1,672.44","-42.42","-2.47","1,640.84","1,722.97","1,637.88","649,779","9,709,076,676,434","1,126,202,983,998,029"
"2020/03/16","1,714.86","-56.58","-3.19","1,805.43","1,805.43","1,714.38","682,004","8,593,833,318,802","1,155,216,110,560,059"
"2020/03/13","1,771.44","-62.89","-3.43","1,722.68","1,809.31","1,680.60","1,035,278","13,376,937,880,276","1,193,686,836,834,111"
"2020/03/12","1,834.33","-73.94","-3.87","1,887.97","1,897.23","1,808.56","850,345","11,309,953,238,897","1,235,351,151,777,928"
"2020/03/11","1,908.27","-54.66","-2.78","1,965.67","1,967.70","1,898.27","679,716","8,598,096,539,563","1,284,895,600,563,685"
"2020/03/10","1,962.93","8.16","0.42","1,942.85","1,968.17","1,934.72","638,564","9,133,693,232,419","1,321,480,461,086,756"
"2020/03/09","1,954.77","-85.45","-4.19","1,981.02","1,989.50","1,946.90","666,868","8,796,943,870,443","1,316,427,699,384,929"
"2020/03/06","2,040.22","-45.04","-2.16","2,053.09","2,062.57","2,032.13","865,588","7,233,537,918,936","1,373,917,955,358,746"
"2020/03/05","2,085.26","25.93","1.26","2,078.11","2,089.08","2,059.99","675,205","7,954,349,129,052","1,404,684,361,584,030"
"2020/03/04","2,059.33","45.18","2.24","2,005.81","2,063.59","2,005.81","606,287","7,829,192,743,679","1,386,938,608,490,669"
"2020/03/03","2,014.15","11.64","0.58","2,051.85","2,051.85","2,009.39","615,693","8,687,846,563,942","1,356,176,459,905,865"
"2020/03/02","2,002.51","15.50","0.78","1,997.03","2,017.07","1,969.34","528,103","7,811,002,803,335","1,348,109,552,183,221"
"2020/02/28","1,987.01","-67.88","-3.30","2,020.17","2,031.01","1,980.82","671,552","9,927,960,489,404","1,337,716,963,290,314"
"2020/02/27","2,054.89","-21.88","-1.05","2,073.87","2,085.40","2,049.15","562,775","7,241,174,418,670","1,383,776,360,997,792"
"2020/02/26","2,076.77","-26.84","-1.28","2,064.07","2,089.64","2,059.13","810,938","8,060,327,456,461","1,398,569,205,665,041"
"2020/02/25","2,103.61","24.57","1.18","2,075.55","2,105.49","2,071.50","1,565,588","8,952,278,187,621","1,417,275,415,217,287"
"2020/02/24","2,079.04","-83.80","-3.87","2,114.04","2,120.06","2,079.03","948,621","9,315,474,824,162","1,400,516,367,868,853"
"2020/02/21","2,162.84","-32.66","-1.49","2,165.65","2,184.43","2,160.28","635,474","7,105,856,138,500","1,456,692,607,497,773"
"2020/02/20","2,195.50","-14.84","-0.67","2,223.55","2,228.18","2,186.72","709,564","7,677,672,112,579","1,478,574,047,802,416"
"2020/02/19","2,210.34","1.46","0.07","2,222.51","2,226.00","2,191.20","591,155","7,107,033,607,258","1,488,454,958,761,049"
"2020/02/18","2,208.88","-33.29","-1.48","2,225.98","2,232.93","2,205.21","470,425","6,411,451,075,683","1,487,436,220,977,309"
"2020/02/17","2,242.17","-1.42","-0.06","2,243.07","2,250.05","2,230.26","458,248","5,639,200,666,983","1,510,109,679,102,093"
"2020/02/14","2,243.59","10.63","0.48","2,232.71","2,251.50","2,221.90","597,224","6,379,565,384,141","1,511,254,622,615,908"